id,filename,algorithm_sol,algorithm_sol_int,color_sol,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density,greedy_color_sol,greedy_iss_min,greedy_iss_max,greedy_iss_mean,greedy_iss_median,greedy_iss_std,greedy_iss_q25,greedy_iss_q75,rlf_color_sol,rlf_time_sol,rlf_iss_min,rlf_iss_max,rlf_iss_mean,rlf_iss_median,rlf_iss_std,rlf_iss_q25,rlf_iss_q75,dsat_color_sol,dsat_time_sol,dsat_iss_min,dsat_iss_max,dsat_iss_mean,dsat_iss_median,dsat_iss_std,dsat_iss_q25,dsat_iss_q75,best_greedy_col,dsat_rlf_ratio,rlf_dsat_ratio,treewidth,vertex_cover,iss_min,iss_max,iss_mean,iss_median,iss_std,iss_q25,iss_q75
980,../../graphs/col/G-1000-0.5-20-0.3.col,HEA,2,20,20,0.000000,0.5,423,474.752000,525,15.418382,20,1000,237376,1,237.376,0.004212725802102993,0.4752272272272272,111,1,36,8.928571428571429,9.0,3.254142988475858,8.0,10.0,21,0.169031,19,69,47.61904761904762,48,11.37750495704656,43.5,53.5,103,0.028624,5,34,9.70873786407767,10,2.922633341063732,9.0,11.0,21,4.904761904761905,0.20388349514563106,977,998,9,962,455,416,297.5260492797227,212.0,725.0
981,../../graphs/col/W-1000-0.5-20-0.5.col,HEA,2,20,20,0.000000,0.5,401,474.622000,538,19.092436,20,1000,237311,1,237.311,0.004213879676879706,0.4750970970970971,111,1,13,8.928571428571429,9.0,1.8585778042125258,8.0,10.0,22,0.150714,17,62,45.45454545454545,48.0,12.269696595493082,38.75,53.25,101,0.028569,3,50,9.900990099009901,9,4.665843869001725,9.0,10.0,22,4.590909090909091,0.21782178217821782,980,1000,36,990,383.85714285714283,261.0,307.9646100742763,111.0,663.0
982,../../graphs/col/U-1000-0.9-500-1.1.col,TABU,0,317,500,1.000000,0.9,585,889.110000,999,97.509055,348,1000,444555,1,444.555,0.0022494404516876427,0.89,327,1,39,3.048780487804878,2.0,2.7479319508883244,2.0,3.0,319,3.744233,1,39,3.134796238244514,2,2.774096125532873,2.0,3.0,319,0.048909,1,37,3.134796238244514,3,2.6935771274217215,2.0,3.0,319,1.0,1.0,876,998,65,995,521.4,479,290.6942197770102,271.0,826.0
983,../../graphs/col/G-1000-0.9-250-1.3.col,TABU,0,174,250,1.000000,0.9,822,890.374000,930,15.615701,211,1000,445187,1,445.187,0.0022462470826866013,0.8912652652652653,282,2,28,3.5335689045936394,3,1.7809383686900004,3.0,4.0,237,3.026844,2,30,4.219409282700422,4,3.1840377290076156,3.0,4.0,263,0.050849,1,38,3.802281368821293,3,2.8241857782097823,3.0,4.0,237,1.109704641350211,0.9011406844106464,941,1000,26,985,564.9821428571429,542.5,264.9358406771811,335.75,841.0
984,../../graphs/col/W-1000-0.1--.1.col,HEA,2,21,,,0.1,62,99.900000,150,13.922643,,1000,49950,0,49.95,0.02002002002002002,0.1,28,2,44,34.48275862068966,39,11.175932973694515,33.0,41.0,24,0.027641,23,46,41.666666666666664,43.5,5.214250262223846,40.25,45.0,26,0.007157,14,46,38.46153846153846,41.0,6.854083566638325,36.75,42.25,24,1.0833333333333333,0.9230769230769231,898,994,6,999,260.28,110.0,300.57910364997167,40.75,441.75
985,../../graphs/col/U-500-0.5-110-0.1.col,TABU,0,84,110,0.000000,0.5,101,251.048000,407,68.814546,101,500,62762,1,125.524,0.007966603996048564,0.5031022044088176,92,2,12,5.376344086021505,5,1.6212849070669606,4.0,6.0,89,0.12826,1,12,5.617977528089888,5,1.748412383599944,4.5,6.0,95,0.006723,1,11,5.2631578947368425,5,1.9030240565769037,4.0,6.0,89,1.0674157303370786,0.9368421052631579,314,500,4,392,208.14285714285714,253,135.08321949996673,49.0,267.0
986,../../graphs/col/W-500-0.1--.5.col,HEA,2,13,,,0.1,26,49.900000,87,9.709892,,500,12475,0,24.95,0.04008016032064128,0.1,17,3,38,27.77777777777778,31.0,9.25174422700012,25.5,33.25,16,0.005495,1,39,31.25,34.5,9.9498743710662,30.75,36.0,16,0.001606,3,40,31.25,33.0,8.962886439832502,32.0,35.75,16,1.0,1.0,413,492,4,451,122.44186046511628,62,120.7475332145905,25.0,211.0
987,../../graphs/col/U-1000-0.9-400-1.4.col,HEA,2,281,400,1.000000,0.9,554,884.524000,999,98.171785,307,1000,442262,1,442.262,0.00226110314700336,0.8854094094094094,283,1,44,3.5211267605633805,3.0,3.4420355343774975,2.0,4.0,284,3.258641,1,44,3.5211267605633805,3.0,3.48285717942681,2.0,4.0,286,0.048935,1,44,3.4965034965034967,3.0,3.4435276198121,2.0,4.0,283,1.0070422535211268,0.993006993006993,870,1000,254,974,698,745.0,203.32142041604962,594.75,854.5
988,../../graphs/col/U-1000-0.9-500-0.3.col,HEA,2,368,500,0.000000,0.9,570,890.960000,999,97.736290,403,1000,445480,1,445.48,0.002244769686630152,0.8918518518518519,372,1,7,2.680965147453083,2,1.0537118882340137,2.0,3.0,372,4.305085,1,7,2.6881720430107525,2.0,1.0561435684450209,2.0,3.0,370,0.050607,1,7,2.7027027027027026,2.0,1.0480298942979962,2.0,3.0,370,0.9946236559139785,1.0054054054054054,910,1000,459,958,809.8,896,204.12667635563952,633.0,943.5
989,../../graphs/col/W-500-0.9--.9.col,TABU,0,128,,,0.9,428,449.100000,470,7.350782,,500,112275,0,224.55,0.00445335114673792,0.9,165,1,4,3.0120481927710845,3.0,0.6604677112950949,3.0,3.0,154,0.44965,2,5,3.2467532467532467,3.0,0.5278107245377855,3.0,4.0,162,0.015114,2,4,3.0864197530864197,3.0,0.49084869749342774,3.0,3.0,154,1.051948051948052,0.9506172839506173,494,500,29,500,295.2,317,195.38858717949725,102.5,477.0
