id,filename,algorithm_sol,algorithm_sol_int,color_sol,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density,greedy_color_sol,greedy_iss_min,greedy_iss_max,greedy_iss_mean,greedy_iss_median,greedy_iss_std,greedy_iss_q25,greedy_iss_q75,rlf_color_sol,rlf_time_sol,rlf_iss_min,rlf_iss_max,rlf_iss_mean,rlf_iss_median,rlf_iss_std,rlf_iss_q25,rlf_iss_q75,dsat_color_sol,dsat_time_sol,dsat_iss_min,dsat_iss_max,dsat_iss_mean,dsat_iss_median,dsat_iss_std,dsat_iss_q25,dsat_iss_q75,best_greedy_col,dsat_rlf_ratio,rlf_dsat_ratio
959,../../graphs/col/U-500-0.5-90-1.4.col,TABU,0,66,90,1.000000,0.5,96,241.956000,401,67.513955,78,500,60489,1,120.978,0.008265965712774223,0.4848817635270541,76,1,53,6.4935064935064934,5,6.075454015140668,4.0,7.0,72,0.099304,1,56,6.944444444444445,6.0,6.489186864768513,5.0,7.0,70,0.006974,1,56,7.142857142857143,6.0,6.438754300003829,5.0,7.25,70,0.9722222222222222,1.0285714285714285
960,../../graphs/col/W-500-0.1-5-0.5.col,HEA,2,5,5,0.000000,0.1,17,39.904000,65,7.745888,5,500,9976,1,19.952,0.05012028869286287,0.07996793587174349,15,1,48,31.25,37.0,15.468247045695472,18.0,41.75,6,0.001674,23,117,83.33333333333333,92.5,32.19109607743524,64.25,102.0,13,0.001312,3,54,38.46153846153846,40,12.836246755544659,35.0,47.5,6,2.1666666666666665,0.46153846153846156
961,../../graphs/col/U-1000-0.1--.4.col,TABU,0,52,,,0.1,29,105.410000,142,24.058053,,1000,52705,0,52.705,0.01897353192296746,0.10551551551551551,66,1,23,14.925373134328359,18,6.972485824351488,10.0,20.0,53,0.059317,1,25,18.867924528301888,21,5.5678946989692495,18.0,22.0,55,0.007582,1,25,18.181818181818183,20,6.197642649489756,17.0,22.0,53,1.0377358490566038,0.9636363636363636
962,../../graphs/col/U-1000-0.1-50-0.1.col,ILS,1,40,50,0.000000,0.1,37,103.692000,147,24.730207,49,1000,51846,1,51.846,0.01928789106199128,0.1037957957957958,55,1,29,17.857142857142858,22.0,9.609519090092757,10.0,26.0,41,0.053709,1,34,24.390243902439025,26,7.175925197423981,22.5,29.0,44,0.007793,1,32,22.727272727272727,26.0,8.584365551622907,19.25,28.75,41,1.0731707317073171,0.9318181818181818
963,../../graphs/col/G-1000-0.5-50-0.2.col,TABU,0,87,50,0.000000,0.5,434,488.234000,544,15.867490,50,1000,244117,1,244.117,0.004096396400086843,0.4887227227227227,121,1,12,8.19672131147541,9.0,1.9818988484929723,7.0,9.0,104,0.678152,2,22,9.615384615384615,9.5,2.2611436762004335,9.0,10.0,113,0.035609,2,12,8.849557522123893,9,1.6914767371930464,8.0,10.0,104,1.0865384615384615,0.9203539823008849
964,../../graphs/col/G-1000-0.1-10-1.1.col,TABU,0,10,10,1.000000,0.1,49,85.010000,128,13.277797,10,1000,42505,1,42.505,0.023526643924244205,0.0850950950950951,22,10,83,43.47826086956522,43,12.540369594442478,42.0,46.0,20,0.021085,21,80,50,49.0,10.27003817960412,47.25,53.0,22,0.006007,35,54,45.45454545454545,45.5,3.863470839336946,43.75,47.0,20,1.1,0.9090909090909091
965,../../graphs/col/G-1000-0.5-110-1.3.col,TABU,0,75,110,1.000000,0.5,420,489.376000,544,20.549954,93,1000,244688,1,244.688,0.0040868371150199435,0.4898658658658659,114,1,14,8.695652173913043,9,1.7729641799029434,8.0,10.0,99,0.679195,1,56,10.1010101010101,10,5.474420945047101,9.0,10.0,112,0.030318,1,12,8.928571428571429,9.0,1.386643401448232,8.0,10.0,99,1.1313131313131313,0.8839285714285714
966,../../graphs/col/G-1000-0.5-90-1.2.col,TABU,0,76,90,1.000000,0.5,424,488.420000,542,19.080293,86,1000,244210,1,244.21,0.004094836411285369,0.4889089089089089,118,1,13,8.403361344537815,9,1.7482161742909297,8.0,9.0,96,0.65771,3,61,10.416666666666666,10.0,6.525523438035517,9.0,10.0,110,0.029232,4,13,9.090909090909092,9.0,1.4933826791958256,8.0,10.0,96,1.1458333333333333,0.8727272727272727
967,../../graphs/col/G-1000-0.9-200-1.4.col,TABU,0,158,200,1.000000,0.9,816,888.376000,922,17.673161,186,1000,444188,1,444.188,0.0022512989995227247,0.8892652652652653,263,2,36,3.787878787878788,3.0,2.3914623269659474,3.0,4.0,233,2.936078,2,31,4.291845493562231,4,2.87089625141169,3.0,4.0,267,0.051685,2,24,3.745318352059925,3,2.0286311988944914,3.0,4.0,233,1.145922746781116,0.8726591760299626
968,../../graphs/col/U-500-0.9-150-1.2.col,ILS,1,126,150,1.000000,0.9,303,444.848000,499,46.899135,130,500,111212,1,222.424,0.0044959177067222965,0.8914789579158316,126,1,44,3.937007874015748,3,4.329206884172811,2.0,4.0,126,0.448474,1,47,3.9682539682539684,3.0,4.555324810261517,2.0,4.0,127,0.01115,1,41,3.937007874015748,3,4.120695024393882,2.0,4.0,126,1.007936507936508,0.9921259842519685
