id,filename,algorithm_sol,algorithm_sol_int,color_sol,time_sol,time,time_ratio,iterations_sol,iterations,iterations_ratio,random_seed,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density
48,../../graphs/col/W-1000-0.5--.6.col,TABU,0,91,42.428914,60,0.7071485666666667,3257163,4483441,0.7264873118660422,6,,,0.5,441,499.500000,567,19.251078,,1000,249750,0,249.75,0.004004004004004004,499000.5
49,../../graphs/col/W-1000-0.5--.4.col,TABU,0,91,38.106566,60,0.6351094333333334,2912488,4479946,0.65011676480029,4,,,0.5,431,499.500000,558,19.574167,,1000,249750,0,249.75,0.004004004004004004,499000.5
50,../../graphs/col/U-500-0.9--.3.col,TABU,0,319,0.817911,30,0.027263700000000002,0,2005757,0.0,3,,,0.9,288,451.688000,499,46.018808,,500,112922,0,225.844,0.004427835142841962,225392.312
51,../../graphs/col/U-500-0.5--.7.col,ILS,1,127,0.255073,30,0.008502433333333333,12587,83518,0.15071002658109628,7,,,0.5,113,241.488000,394,65.489067,,500,60372,0,120.744,0.008281985026171073,120502.512
52,../../graphs/col/G-1000-0.5-120-0.4.col,TABU,0,91,10.880395,30,0.3626798333333333,724293,2300299,0.31486906702128725,4,120,0.000000,0.5,433,495.570000,556,15.943058,119,1000,247785,1,247.785,0.004035756805294913,495074.43
53,../../graphs/col/W-1000-0.5-70-0.1.col,TABU,0,90,10.42056,20,0.521028,615661,1295549,0.47521243889656045,1,70,0.000000,0.5,427,492.346000,548,19.909804,70,1000,246173,1,246.173,0.004062183911314401,491853.654
54,../../graphs/col/G-1000-0.5-110-1.4.col,TABU,0,79,23.922301,30,0.7974100333333334,1555839,1970708,0.7894822571380438,4,110,1.000000,0.5,409,489.668000,548,20.391316,94,1000,244834,1,244.834,0.00408440004247776,489178.332
55,../../graphs/col/U-500-0.5-60-1.1.col,HEA,2,53,3.428957,15,0.22859713333333334,476367,2198229,0.21670490199155776,1,60,1.000000,0.5,93,244.476000,405,68.434359,59,500,61119,1,122.238,0.00818076211979908,121993.524
56,../../graphs/col/G-500-0.5-50-0.3.col,HEA,2,49,2.669594,7,0.38137057142857145,254161,750574,0.3386221744957859,3,50,0.000000,0.5,208,244.500000,284,11.364418,50,500,61125,1,122.25,0.0081799591002045,122005.5
57,../../graphs/col/W-1000-0.1-10-1.2.col,HEA,2,10,1.627954,3,0.5426513333333333,140039,196308,0.7133636937873138,2,10,1.000000,0.1,40,84.566000,139,17.585893,10,1000,42283,1,42.283,0.02365016673367547,84481.43400000001
58,../../graphs/col/G-1000-0.9-200-1.5.col,TABU,0,157,56.605364,60,0.9434227333333334,1665658,1785407,0.9329290184254907,5,200,1.000000,0.9,820,888.818000,920,17.294533,185,1000,444409,1,444.409,0.002250179451811282,887929.182
59,../../graphs/col/G-1000-0.9-250-0.2.col,TABU,0,208,114.327101,120,0.9527258416666666,3505541,3653287,0.9595580637382172,2,250,0.000000,0.9,856,894.562000,927,9.844296,237,1000,447281,1,447.281,0.0022357310057883077,893667.438
60,../../graphs/col/U-1000-0.9-500-1.2.col,TABU,0,317,38.450754,120,0.32042295000000004,1925257,6424821,0.2996592434248363,2,500,1.000000,0.9,556,887.218000,999,99.092121,346,1000,443609,1,443.609,0.002254237402757834,886330.782
61,../../graphs/col/U-1000-0.9-400-0.4.col,TABU,0,327,3.538916,120,0.029490966666666667,0,6447509,0.0,4,400,0.000000,0.9,552,887.680000,999,98.355903,354,1000,443840,1,443.84,0.0022530641672674837,886792.32
62,../../graphs/col/U-500-0.1--.7.col,TABU,0,31,0.006948,30,0.00023160000000000002,0,8124234,0.0,7,,,0.1,20,52.072000,74,12.007448,,500,13018,0,26.036,0.03840835765862652,25983.928
63,../../graphs/col/U-1000-0.5-90-1.1.col,HEA,2,84,8.30264,20,0.415132,497522,930025,0.5349555119486036,1,90,1.000000,0.5,192,488.758000,814,134.140954,90,1000,244379,1,244.379,0.004092004632149243,488269.24199999997
64,../../graphs/col/U-500-0.5-110-1.3.col,HEA,2,71,12.343195,20,0.61715975,1627656,2677306,0.6079454496422897,3,110,1.000000,0.5,110,239.296000,412,64.240395,86,500,59824,1,119.648,0.008357849692431132,119408.704
65,../../graphs/col/G-1000-0.5-60-1.1.col,TABU,0,68,19.649608,20,0.9824804,1025511,1028923,0.9966839112353403,1,60,1.000000,0.5,403,483.554000,542,23.601125,60,1000,241777,1,241.777,0.004136042717049182,483070.446
66,../../graphs/col/G-500-0.5-40-1.3.col,TABU,0,35,1.472687,7,0.21038385714285715,111837,831201,0.13454868317049667,3,40,1.000000,0.5,181,236.572000,280,17.857122,40,500,59143,1,118.286,0.008454085859695992,118049.428
67,../../graphs/col/G-1000-0.5-80-0.2.col,TABU,0,90,12.169673,20,0.6084836499999999,786342,1357661,0.5791887665624924,2,80,0.000000,0.5,445,492.316000,545,15.993378,80,1000,246158,1,246.158,0.004062431446469341,491823.68399999995
68,../../graphs/col/G-1000-0.9-50-1.3.col,ILS,1,50,1.835827,7,0.262261,4731,54903,0.08617015463635867,3,50,1.000000,0.9,735,859.450000,920,46.967302,50,1000,429725,1,429.725,0.002327069637558904,858590.55
69,../../graphs/col/W-1000-0.5--.2.col,TABU,0,91,34.897678,60,0.5816279666666666,2575516,4503597,0.5718797663290033,2,,,0.5,450,499.500000,555,18.783503,,1000,249750,0,249.75,0.004004004004004004,499000.5
70,../../graphs/col/U-500-0.9-200-0.5.col,TABU,0,157,0.439473,30,0.0146491,6194,3176159,0.0019501542586501494,5,200,0.000000,0.9,297,443.492000,499,47.497726,172,500,110873,1,221.746,0.004509664210402893,221302.508
71,../../graphs/col/U-1000-0.5-110-0.1.col,TABU,0,105,15.647212,30,0.5215737333333333,1330820,2625104,0.5069589623877758,1,110,0.000000,0.5,216,495.238000,813,135.210774,110,1000,247619,1,247.619,0.004038462315088907,494742.762
72,../../graphs/col/W-500-0.9--.4.col,TABU,0,128,22.800559,30,0.7600186333333333,1821179,2346215,0.7762199968886057,4,,,0.9,428,449.100000,467,6.999000,,500,112275,0,224.55,0.00445335114673792,224100.90000000002
73,../../graphs/col/U-500-0.5-20-0.1.col,HEA,2,20,0.024156,3,0.008052,0,204610,0.0,1,20,0.000000,0.5,98,240.672000,390,66.037689,20,500,60168,1,120.336,0.008310065150910782,120095.328
74,../../graphs/col/W-1000-0.9-150-0.4.col,TABU,0,154,44.609731,45,0.9913273555555555,364521,365634,0.9969559723658085,4,150,0.000000,0.9,836,893.172000,927,11.625077,149,1000,446586,1,446.586,0.002239210364856937,892278.828
75,../../graphs/col/G-500-0.5--.7.col,HEA,2,50,4.767809,30,0.15892696666666667,514640,3358963,0.15321395323497164,7,,,0.5,215,250.176000,285,11.131443,,500,62544,0,125.088,0.007994371962138654,124837.824
76,../../graphs/col/G-500-0.1--.8.col,ILS,1,13,0.0349,30,0.0011633333333333333,6612,26177,0.25258814990258627,8,,,0.1,30,50.568000,73,6.643597,,500,12642,0,25.284,0.039550704002531245,25233.432
77,../../graphs/col/W-500-0.1--.10.col,TABU,0,13,0.193077,30,0.0064359,59877,7303475,0.00819842609168923,10,,,0.1,26,49.900000,84,8.926926,,500,12475,0,24.95,0.04008016032064128,24900.1
78,../../graphs/col/U-500-0.5-50-0.4.col,ILS,1,49,0.086789,7,0.012398428571428572,1608,30017,0.05356964386847453,4,50,0.000000,0.5,95,243.128000,394,67.872318,50,500,60782,1,121.564,0.00822611957487414,121320.87199999999
79,../../graphs/col/W-1000-0.9-220-0.1.col,ILS,1,196,104.946847,120,0.8745570583333334,2938297,3567542,0.8236194556364017,1,220,0.000000,0.9,847,895.040000,925,11.269978,215,1000,447520,1,447.52,0.002234537003932785,894144.96
80,../../graphs/col/W-1000-0.9--.10.col,TABU,0,237,56.959894,60,0.9493315666666666,1881925,1951779,0.96421008731009,10,,,0.9,855,899.100000,935,11.030866,,1000,449550,0,449.55,0.0022244466688911132,898200.9
81,../../graphs/col/W-1000-0.1-10-0.5.col,TABU,0,14,2.821995,3,0.940665,260387,262777,0.990904835659133,5,10,0.000000,0.1,54,89.904000,136,12.572223,10,1000,44952,1,44.952,0.022245951236874888,89814.09599999999
82,../../graphs/col/W-500-0.9--.6.col,TABU,0,128,26.852295,30,0.8950765,2095068,2307474,0.9079486919462582,6,,,0.9,428,449.100000,469,7.270626,,500,112275,0,224.55,0.00445335114673792,224100.90000000002
83,../../graphs/col/U-500-0.5-100-1.3.col,TABU,0,69,0.559898,15,0.037326533333333335,62561,1985157,0.0315143840008624,3,100,1.000000,0.5,109,238.700000,409,64.288770,80,500,59675,1,119.35,0.008378718056137411,119111.29999999999
84,../../graphs/col/W-1000-0.5-60-1.3.col,TABU,0,67,16.88719,20,0.8443595,912743,1098056,0.8312353832591416,3,60,1.000000,0.5,372,480.990000,552,31.659878,60,1000,240495,1,240.495,0.004158090604794279,480509.01
85,../../graphs/col/W-1000-0.5-90-0.3.col,TABU,0,91,10.646453,20,0.53232265,699711,1394126,0.5018993979023417,3,90,0.000000,0.5,429,493.982000,559,19.392722,90,1000,246991,1,246.991,0.004048730520545283,493488.01800000004
86,../../graphs/col/U-1000-0.1-40-0.3.col,TABU,0,34,2.011821,7,0.28740299999999996,445546,1256396,0.3546222687751314,3,40,0.000000,0.1,35,103.434000,149,26.103403,40,1000,51717,1,51.717,0.01933600170156815,103330.56599999999
87,../../graphs/col/U-500-0.9-250-0.5.col,TABU,0,180,0.728935,30,0.024297833333333334,32184,3078975,0.010452829269480915,5,250,0.000000,0.9,297,443.992000,499,47.523131,197,500,110998,1,221.996,0.004504585668210238,221552.008
88,../../graphs/col/W-1000-0.9-90-1.5.col,TABU,0,90,15.033804,20,0.7516902,59875,311857,0.19199504901284883,5,90,1.000000,0.9,779,877.230000,923,29.958590,90,1000,438615,1,438.615,0.002279903788060144,876352.77
89,../../graphs/col/W-1000-0.9-150-0.2.col,TABU,0,151,44.868972,45,0.9970882666666666,450286,450522,0.9994761632062363,2,150,0.000000,0.9,848,893.128000,928,11.382074,150,1000,446564,1,446.564,0.002239320679678613,892234.8720000001
90,../../graphs/col/U-500-0.5-90-0.4.col,HEA,2,75,1.63273,15,0.10884866666666666,206865,1925753,0.10742031818203061,4,90,0.000000,0.5,96,245.316000,398,68.439317,88,500,61329,1,122.658,0.008152749922548875,122412.68400000001
91,../../graphs/col/W-1000-0.1--.5.col,TABU,0,21,39.905816,60,0.6650969333333333,9208645,11859749,0.7764620482271589,5,,,0.1,61,99.900000,151,13.876743,,1000,49950,0,49.95,0.02002002002002002,99800.1
92,../../graphs/col/U-1000-0.5-90-0.1.col,TABU,0,88,1.434967,20,0.07174835,66830,1798640,0.037155851087488326,1,90,0.000000,0.5,213,494.254000,810,135.004265,90,1000,247127,1,247.127,0.00404650240564568,493759.74600000004
93,../../graphs/col/W-1000-0.5-40-1.5.col,TABU,0,59,6.970868,7,0.9958382857142858,126656,126663,0.999944735242336,5,40,1.000000,0.5,372,474.046000,559,36.678766,40,1000,237023,1,237.023,0.004218999843897005,473571.95399999997
94,../../graphs/col/W-1000-0.5-90-1.4.col,TABU,0,78,17.9297,20,0.896485,1074809,1195694,0.8988997184898477,4,90,1.000000,0.5,395,487.452000,575,26.476248,87,1000,243726,1,243.726,0.004102968087114219,486964.548
